,col_a,col_b,pvalue
343,01-01_1,02-00_3,2.7922901139780465e-06
344,01-01_1,02-00_5,7.029049656177119e-07
345,01-01_1,02-01_1,5.995104344813828e-22
346,01-01_1,02-01_3,3.298614313832396e-23
347,01-01_1,02-01_4,6.151129039166932e-22
348,01-01_1,02-01_5,2.0231199872185557e-23
349,01-01_1,03-00_1,3.7836569220807885e-08
350,01-01_1,03-00_3,2.7453498711303873e-10
351,01-01_1,03-00_4,4.703889174999206e-10
352,01-01_1,03-00_5,4.384890219032713e-06
353,01-01_1,03-01_1,2.109144494814168e-10
354,01-01_1,03-01_3,5.094299037258943e-11
355,01-01_1,03-01_4,1.247493249069352e-11
356,01-01_1,03-01_5,1.298380594515431e-07
357,01-01_1,04-00_1,1.7666063420393584e-09
358,01-01_1,04-00_3,2.0041004870836941e-07
359,01-01_1,04-00_4,1.0561028708763293e-07
360,01-01_1,04-00_5,6.943692469552916e-09
361,01-01_1,04-01_1,1.1384091205156893e-08
362,01-01_1,04-01_2,3.7459290099431984e-10
363,01-01_1,04-01_5,8.165817504551111e-09
364,01-01_1,06-00_1,2.9482537382676507e-09
365,01-01_1,06-00_3,2.0876164466732417e-07
366,01-01_1,06-00_4,1.978363233109899e-07
367,01-01_1,06-00_5,3.712488776514273e-08
368,01-01_1,06-01_1,3.626668188096342e-24
369,01-01_1,06-01_3,1.5004530351093065e-23
370,01-01_1,06-01_4,9.180268467033424e-24
371,01-01_1,06-01_5,6.939210941153494e-23
372,01-01_1,07-00_0,1.0688550427612518e-06
373,01-01_2,01-01_2,0.0
374,01-01_2,01-01_3,4.311377622814897e-18
375,01-01_2,01-01_4,2.445626052983929e-20
376,01-01_2,01-01_5,3.586502152131218e-16
377,01-01_2,02-00_1,3.0755729463599286e-06
378,01-01_2,02-00_5,3.794937363791762e-07
379,01-01_2,02-01_1,3.0106329362149176e-08
380,01-01_2,02-01_2,1.9782857334506901e-13
381,01-01_2,02-01_4,8.671898155364031e-07
382,01-01_2,02-01_5,4.879502121702003e-07
383,01-01_2,03-00_0,2.9522260469268867e-06
384,01-01_2,03-00_2,2.4847508455541944e-06
385,01-01_2,03-01_0,1.3100942621440298e-07
386,01-01_2,03-01_2,8.289673701565722e-13
387,01-01_2,04-01_0,2.144347689243322e-06
388,01-01_2,04-01_2,4.5059922171171666e-14
389,01-01_2,05-01_1,1.7073796177608836e-06
390,01-01_2,05-01_2,3.878903765622548e-09
391,01-01_2,05-01_3,1.3488224314850426e-07
392,01-01_2,05-01_4,4.36001170292214e-06
393,01-01_2,05-01_5,2.8340790433769983e-06
394,01-01_2,06-01_0,8.722420275447957e-08
395,01-01_2,06-01_1,9.607357018182167e-12
396,01-01_2,06-01_2,2.6395330706841826e-10
397,01-01_2,06-01_3,2.299072376872026e-13
398,01-01_2,06-01_4,3.34511776951158e-13
399,01-01_2,06-01_5,1.839566136525864e-10
400,01-01_2,07-00_2,1.3797678022730292e-08
401,01-01_2,07-01_2,4.946791673944756e-06
402,01-01_3,01-01_3,0.0
403,01-01_3,01-01_4,3.6446086437040577e-121
404,01-01_3,01-01_5,8.474121521727173e-138
405,01-01_3,02-00_1,3.0696523782479188e-06
406,01-01_3,02-00_3,3.443681814971392e-08
407,01-01_3,02-00_4,3.448964805925973e-06
408,01-01_3,02-00_5,2.8932042060237266e-07
409,01-01_3,02-01_1,1.2961706193252726e-19
410,01-01_3,02-01_2,3.211213073650553e-06
411,01-01_3,02-01_3,1.8522447551788927e-25
412,01-01_3,02-01_4,6.631012445098018e-21
413,01-01_3,02-01_5,2.621665924805614e-23
414,01-01_3,03-00_1,2.6865058745237533e-07
415,01-01_3,03-00_3,1.4771098609913518e-10
416,01-01_3,03-00_4,4.8564089279872104e-09
417,01-01_3,03-00_5,3.273668026515527e-06
418,01-01_3,03-01_1,3.9695323547537634e-08
419,01-01_3,03-01_3,1.982147768683465e-12
420,01-01_3,03-01_4,3.2015766554417435e-09
421,01-01_3,03-01_5,3.7590033363469674e-08
422,01-01_3,04-00_1,6.3774558726249e-10
423,01-01_3,04-00_3,5.0100503503013755e-08
424,01-01_3,04-00_4,3.531994353639408e-08
425,01-01_3,04-00_5,3.0797438182325405e-09
426,01-01_3,04-01_1,4.829148245344777e-08
427,01-01_3,04-01_2,4.681615378093155e-10
428,01-01_3,04-01_5,1.2597792378492746e-08
429,01-01_3,06-00_1,7.27819327864602e-10
430,01-01_3,06-00_3,2.6723184354381703e-09
431,01-01_3,06-00_4,7.410747437804961e-08
432,01-01_3,06-00_5,2.716601314047786e-10
433,01-01_3,06-01_1,5.186134323421741e-23
434,01-01_3,06-01_3,6.643533148791468e-27
435,01-01_3,06-01_4,5.432298887642163e-24
436,01-01_3,06-01_5,1.6483632602668552e-23
437,01-01_4,01-01_4,0.0
438,01-01_4,01-01_5,1.4226483117590501e-89
439,01-01_4,02-00_3,3.413932853490759e-06
440,01-01_4,02-00_4,3.160663274266446e-06
441,01-01_4,02-01_1,3.056619407735297e-18
442,01-01_4,02-01_3,1.0184914082700536e-19
443,01-01_4,02-01_4,3.615186043994993e-20
444,01-01_4,02-01_5,5.051380009958885e-19
445,01-01_4,03-00_1,1.3002120586859306e-07
446,01-01_4,03-00_3,4.851664730936332e-10
447,01-01_4,03-00_4,1.11329645956142e-10
448,01-01_4,03-01_1,2.1410952495632112e-10
449,01-01_4,03-01_3,7.496010004600821e-10
450,01-01_4,03-01_4,5.220520002367269e-13
451,01-01_4,03-01_5,8.06924481753932e-07
452,01-01_4,04-00_1,9.735451781352085e-08
453,01-01_4,04-00_3,1.4049662405133795e-06
454,01-01_4,04-00_4,1.100222927768813e-06
455,01-01_4,04-00_5,2.5714472839811653e-07
456,01-01_4,04-01_1,2.596153801154416e-07
457,01-01_4,04-01_2,6.272398829344514e-09
458,01-01_4,04-01_5,6.115983997341554e-08
459,01-01_4,06-00_1,1.5816907842039392e-08
460,01-01_4,06-00_3,6.378635574746609e-07
461,01-01_4,06-00_4,8.74157731502297e-08
462,01-01_4,06-00_5,1.8789635369590855e-07
463,01-01_4,06-01_1,2.267014482872567e-22
464,01-01_4,06-01_3,2.5237056916833562e-23
465,01-01_4,06-01_4,5.897634194696101e-27
466,01-01_4,06-01_5,3.709652400366642e-19
467,01-01_5,01-01_5,0.0
468,01-01_5,02-00_3,1.838160005371065e-06
469,01-01_5,02-00_5,7.068283719254413e-07
470,01-01_5,02-01_1,1.1376591834342934e-19
471,01-01_5,02-01_3,2.550567821696261e-23
472,01-01_5,02-01_4,9.120636300863026e-20
473,01-01_5,02-01_5,1.130144021888451e-23
474,01-01_5,03-00_1,8.08903250321804e-07
475,01-01_5,03-00_3,1.764232429621036e-08
476,01-01_5,03-00_4,1.9510925103005385e-07
477,01-01_5,03-01_1,1.9859309973114913e-09
478,01-01_5,03-01_3,2.2880525658539132e-11
479,01-01_5,03-01_4,6.07864739070945e-10
480,01-01_5,03-01_5,2.3729506219413452e-08
481,01-01_5,04-00_0,4.807055539236801e-07
482,01-01_5,04-00_1,8.041324326907077e-10
483,01-01_5,04-00_3,5.733373723576545e-08
484,01-01_5,04-00_4,1.0685186957383043e-07
485,01-01_5,04-00_5,8.59361189772231e-10
486,01-01_5,04-01_1,9.353539955691904e-08
487,01-01_5,04-01_2,6.725938456770047e-09
488,01-01_5,04-01_5,4.743603976389233e-09
489,01-01_5,06-00_1,3.3100307388153103e-09
490,01-01_5,06-00_3,7.574398513682052e-08
491,01-01_5,06-00_4,1.3064997869827348e-06
492,01-01_5,06-00_5,9.35258866361261e-10
493,01-01_5,06-01_1,4.782529303051869e-23
494,01-01_5,06-01_3,1.0101828316686568e-22
495,01-01_5,06-01_4,1.5484821529875162e-20
496,01-01_5,06-01_5,7.089915975954745e-25
497,01-01_5,07-00_0,1.5405294753447015e-06
498,02-00_0,02-00_0,0.0
499,02-00_0,02-00_1,2.115632802527022e-09
500,02-00_0,02-00_2,5.927092296083722e-36
501,02-00_0,02-00_3,1.453968333562439e-14
502,02-00_0,02-00_4,2.0985631635350104e-09
503,02-00_0,02-00_5,4.196987582719534e-17
504,02-00_0,02-01_0,4.3291827066384647e-19
505,02-00_0,02-01_2,4.5365869867786796e-07
506,02-00_0,03-00_0,4.862914262096137e-19
507,02-00_0,03-01_0,2.0426141601268583e-08
508,02-00_0,04-00_0,1.27699843117696e-06
509,02-00_0,05-01_0,3.278971668197294e-08
510,02-00_0,06-00_0,6.708604218216435e-21
511,02-00_0,06-00_2,4.280205337229715e-09
512,02-00_0,06-01_0,3.291812041876541e-07
513,02-00_0,07-00_2,3.0871228329700875e-09
514,02-00_1,02-00_1,0.0
515,02-00_1,02-00_2,5.40229622146962e-15
516,02-00_1,02-00_3,1.2979203149029273e-76
517,02-00_1,02-00_4,2.1790382021125424e-134
518,02-00_1,02-00_5,6.980024020819075e-84
519,02-00_1,02-01_1,1.1247290576436862e-19
520,02-00_1,02-01_3,7.681943885844714e-18
521,02-00_1,02-01_4,5.58244336968565e-19
522,02-00_1,02-01_5,1.5939142149453858e-17
523,02-00_1,03-00_1,9.400915710633117e-18
524,02-00_1,03-00_3,5.520700164293098e-19
525,02-00_1,03-00_4,3.9421686888919847e-19
526,02-00_1,03-00_5,5.5835935100677816e-14
527,02-00_1,03-01_1,1.047300331583721e-07
528,02-00_1,03-01_3,3.717606465148596e-10
529,02-00_1,03-01_4,2.32240099264696e-08
530,02-00_1,03-01_5,9.8753367827932e-08
531,02-00_1,04-00_2,1.2242966127693576e-06
532,02-00_1,06-00_1,4.946501321191348e-10
533,02-00_1,06-00_3,1.0499335143132409e-11
534,02-00_1,06-00_4,6.190525133185841e-11
535,02-00_1,06-00_5,6.6975165794403105e-09
536,02-00_1,06-01_0,3.2754585224031546e-06
537,02-00_1,06-01_1,2.8252265743645524e-07
538,02-00_1,06-01_3,1.3808193230855171e-09
539,02-00_1,06-01_4,2.0734571229672874e-07
540,02-00_1,06-01_5,1.8045644264683e-07
541,02-00_2,02-00_2,0.0
542,02-00_2,02-00_3,2.1829858582955586e-13
543,02-00_2,02-00_4,8.157830266054497e-15
544,02-00_2,02-00_5,2.785396748811416e-13
545,02-00_2,02-01_0,1.2108644777273168e-08
546,02-00_2,02-01_2,2.1866314186857563e-12
547,02-00_2,03-00_0,7.2877851474300555e-09
548,02-00_2,03-00_2,2.212941756959257e-15
549,02-00_2,03-01_2,9.417666471023655e-08
550,02-00_2,04-00_2,3.2074224212714285e-07
551,02-00_2,06-00_0,4.553606116153314e-06
552,02-00_2,06-00_2,6.677575939020991e-07
553,02-00_2,07-00_1,3.424212923344319e-07
