,col_a,col_b,pvalue
409,05-01_1,05-01_4,1.1897160875058986e-113
410,05-01_1,05-01_5,3.2644913416271276e-69
411,05-01_2,05-01_2,0.0
412,05-01_2,05-01_3,8.873581468137681e-18
413,05-01_2,05-01_4,6.176325591351867e-25
414,05-01_2,05-01_5,4.297147632246744e-20
415,05-01_3,05-01_3,0.0
416,05-01_3,05-01_4,1.4276710984745942e-72
417,05-01_3,05-01_5,2.5905294942253886e-76
418,05-01_4,05-01_4,0.0
419,05-01_4,05-01_5,1.769369874136111e-39
420,05-01_5,05-01_5,0.0
421,06-00_0,06-00_0,0.0
422,06-00_0,06-00_2,1.8102348647898448e-31
423,06-00_0,06-00_3,2.443786245237844e-15
424,06-00_0,06-00_5,2.0580874050680732e-18
425,06-00_0,06-01_0,9.138655881619984e-20
426,06-00_1,06-00_1,0.0
427,06-00_1,06-00_2,1.3652045361263194e-19
428,06-00_1,06-00_3,2.316169284342263e-98
429,06-00_1,06-00_4,1.542538007717232e-122
430,06-00_1,06-00_5,1.0127468457485605e-118
431,06-00_2,06-00_2,0.0
432,06-00_2,06-00_3,4.8702978459021455e-18
433,06-00_2,06-00_4,2.2419355450995472e-20
434,06-00_2,06-00_5,6.841222089203932e-18
435,06-00_3,06-00_3,0.0
436,06-00_3,06-00_4,2.7507666491256577e-131
437,06-00_3,06-00_5,4.520693991079413e-106
438,06-00_3,06-01_3,2.1056835126059008e-16
439,06-00_4,06-00_4,0.0
440,06-00_4,06-00_5,1.0616584077972145e-71
441,06-00_5,06-00_5,0.0
442,06-00_5,06-01_3,9.288920989323422e-16
443,06-00_5,06-01_5,2.694057438059139e-15
444,06-01_0,06-01_0,0.0
445,06-01_0,06-01_2,4.5637793222483474e-24
446,06-01_0,06-01_3,4.449783600334208e-19
447,06-01_0,06-01_5,4.423651148994047e-21
448,06-01_1,06-01_1,0.0
449,06-01_1,06-01_2,1.007225331458464e-24
450,06-01_1,06-01_3,4.577978014044402e-87
451,06-01_1,06-01_4,1.6077018578158485e-117
452,06-01_1,06-01_5,8.26289587508685e-113
453,06-01_2,06-01_2,0.0
454,06-01_2,06-01_3,1.0028401265609952e-19
455,06-01_2,06-01_4,2.1735875282233806e-23
456,06-01_2,06-01_5,1.128892494934782e-20
457,06-01_3,06-01_3,0.0
458,06-01_3,06-01_4,2.274099508637491e-115
459,06-01_3,06-01_5,1.0716961256945704e-106
460,06-01_4,06-01_4,0.0
461,06-01_4,06-01_5,1.812204329485208e-69
462,06-01_5,06-01_5,0.0
463,07-00_0,07-00_0,0.0
464,07-00_0,07-00_1,1.552390262116151e-51
465,07-00_0,07-00_2,8.699911585769322e-39
466,07-00_0,07-00_3,1.2758829125546222e-40
467,07-00_0,07-00_4,2.3993394353387706e-37
468,07-00_0,07-00_5,2.350354568238409e-52
469,07-00_0,07-01_0,1.2848540887701566e-25
470,07-00_0,07-01_1,3.0466463071425022e-18
471,07-00_0,07-01_2,6.621877580016834e-16
472,07-00_0,07-01_5,1.0012313680086393e-18
473,07-00_1,07-00_1,0.0
